기능,Method,URL,header 포함 여부,설명,상태,백엔드 관리자,프론트 관리자,프론트 마감 기한
이메일 인증번호 보내기,POST,/auth/email/send,포함 X,"이메일로 인증 번호를 보냅니다. ",개발 완료,황규운,정일혁,
이메일 인증번호 확인,POST,/auth/email/verify,포함 X,받은 인증 번호로 인증을 합니다.,개발 완료,황규운,정일혁,
회원 가입,POST,/auth/sign-up,포함 X,"이메일,비밀 번호, 휴대폰 번호로 회원가입을 합니다.",개발 완료,황규운,정일혁,
로그인,POST,/auth/login,포함 X,email과 비밀 번호로 로그인 합니다.,개발 완료,황규운,정일혁,
토큰 재발급,POST,/auth/reissue,포함 X,토큰을 다시 받습니다.,개발 완료,황규운,정일혁,
카카오 로그인..?,POST,/auth/social/login,포함 X,,개발 진행 중,황규운,정일혁,
비밀번호 변경,POST,/auth/password/change,포함 O,비밀번호를 변경합니다.,개발 완료,황규운,정일혁,
로그아웃,POST,/auth/logout,포함 O,,개발 완료,황규운,정일혁,
new Endpoint,,,포함 O,,시작 전,,,
데일리 질문 조회,GET,/daily-question,포함 O,,개발 진행 중,김소희,,
모든 afternote 목록,GET,/afternotes?category=SOCIAL?page=0&size=10,포함 O,category 없으면 전체,개발 진행 중,황규운,,
afternote 상세 목록,GET,/afternotes/{afternote_id},포함 O,상세 목록,개발 진행 중,황규운,,
afternote 생성,POST,/afternotes,포함 O,,개발 진행 중,황규운,,
afternote 수정,PATCH,/afternotes/{afternote_id},포함 O,,개발 진행 중,황규운,,
afternote 삭제,DELETE,/afternotes/{afternote_id},포함 O,,개발 진행 중,황규운,,
프로필 조회,GET,/users/me,포함 O,프로필 수정 진입 시 기존 정보를 표시합니다.,개발 완료,김소희,,
프로필 수정,PATCH,/users/me,포함 O,,개발 완료,김소희,,
푸시 알림 상태 조회,GET,/users/push-settings,포함 O,,개발 완료,김소희,,
푸시 알림 설정 변경,PATCH,/users/push-settings,포함 O,,개발 완료,김소희,,
수신인 목록 조회,GET,/users/receivers,포함 O,수신인 리스트 목록을 조회합니다.,개발 완료,김소희,,
수신인 상세 조회,GET,/users/receivers/{receiverId},포함 O,특정 수신인의 상세 정보를 조회합니다,개발 완료,김소희,,
수신인별 데일리 질문 답변 목록 조회,GET,/users/receivers/{receiverId}/daily-questions,포함 O,특정 수신인에게 전달될 데일리 질문 답변 목록을 최신순으로 조회합니다.,시작 전,김소희,,
수신인별 타임레터 목록 조회,GET,/users/receivers/{receiverId}/time-letters,포함 O,특정 수신인에게 전달될 타임레터 목록을 조회합니다.,시작 전,김소희,,
수신인별 애프터노트 목록 조회,GET,/users/receivers/{receiverId}/after-notes,포함 O,특정 수신인에게 전달될 애프터노트 출처별 목록을 조회합니다.,시작 전,김소희,,
수신자 등록,POST,/users/receivers,포함 O,수신인을 등록합니다/,개발 완료,김소희,,
전체 조회,GET,/time-letters,포함 O,List<TimeLetterInfoResponse>,개발 완료,영탁 조,박경민,
"단일 조회, 임시저장 불러오기",GET,/time-letters/{timeLetterId},포함 O,,개발 완료,영탁 조,박경민,
등록,POST,/time-letters,포함 O,"날짜, 시간, 제목, 내용, 첨부파일, 임시저장여부, 수신자",개발 완료,영탁 조,박경민,
임시저장 전체 조회,GET,/time-letters/temporary,포함 O,List<TimeLetterInfoResponse>,개발 완료,영탁 조,박경민,
"단일, 다건 (종류 무관) 삭제",POST,/time-letters/delete,포함 O,Body: List<TimeLetterId>,개발 완료,영탁 조,박경민,
임시저장 전체 삭제,DELETE,/time-letters/temporary,포함 O,,개발 완료,영탁 조,박경민,
수정,PATCH,/time-letters/{timeLetterId},포함 O,,개발 완료,영탁 조,박경민,
Mind-Record 조회,GET,receiver/mind-records/{등록자Id},포함 X,,시작 전,영탁 조,박경민,
Time-Letter 조회,GET,receiver/time-letters/{등록자Id},포함 X,,시작 전,영탁 조,박경민,
After-Note 조회,GET,receiver/afternotes/{등록자Id},포함 X,,시작 전,영탁 조,박경민,
마음의기록 목록 조회,GET,/mind-records,포함 O,"기록 목록을 조회합니다. type 파라미터로 데일리 질문, 일기, 깊은생각 구분합니다.",개발 완료,김소희,,
마음의기록 작성,POST,/mind-records,포함 O,기록을 작성합니다. type 값으로 기록 유형 구분합니다.,개발 완료,김소희,,
마음의기록 단건 수정화면 조회,GET,/mind-records/{recordId},포함 O,기록 수정 화면을 조회합니다.,개발 완료,김소희,,
마음의기록 수정,PATCH,/mind-records/{recordId},포함 O,기록 ID를 기준으로 내용을 수정합니다.,개발 완료,김소희,,
마음의기록 삭제,DELETE,/mind-records/{recordId},포함 O,기록 ID를 기준으로 기록을 삭제합니다.,개발 완료,김소희,,
주간 리포트 조회,GET,/mind-records/weekly,포함 O,,시작 전,,,